check_material,customermaterial,customer_description
49000185,2P282970-1K,BELL MOUTH
49000186,1PN15292-1,BELL MOUTH
49000187,1PN15293-1,BELL MOUTH
49000188,2P136129-1K,DISCH.GRILLE HOR.BLADE
49000189,2P136130-1K,DISCH.GRILLE HOR.BLADE
49000190,2P184179-1C,DISCH.GRILLE VERT.BLADE(EUROPE)
49000191,2P095979-1L,DISCH.GRILLE HOR.BLADE(BOTTOM)
49000192,2P095980-1L,DISCH.GRILLE HOR.BLADE(TOP)
49000193,2P095979-3L,DISCH.GRILLE HOR.BLADE(BOTTOM)
49000194,2P095980-3L,DISCH.GRILLE HOR.BLADE(TOP)
49000173,2P002232-1,DIFFUSER
49000196,1P294119-1C,EL.COMPO.BOX(1)
49000197,1P244921-1E,EL.COMPO.BOX (1/2)
49000198,2P291370-1B,EL.COMPO.BOX COVER
49000200,1P321331-1D,EL.COMPO.BOX
49000733,3P010281-3,HORIZONTAL BLADE ASSY
49000201,1P078814-1D,LEFT SIDE PANEL (RESIN) VRV
49000202,1P180690-2H,MOTOR MOUNTING PLATE(2/2)
49000203,1P180726-2D,MOTOR MOUNTING PLATE (1/2)
49000204,1P078818-1C,RIGHT SIDE PANEL(RESIN)VRV
49000205,1P270090-1D,STOP VALVE COVER
49000206,1P167603-1C,TOP FLAT PLATE
49000207,1P136150-2G,FRONT GRILLE
49000208,1P269626-1C,DISCH.GRILLE
49000209,1P294992-1C,DISCH.GRILLE
49000210,2P095979-4L,DISCH GRILLE HOR.BLADE(BOTTOM)
49000211,2P095980-4L,DISCH GRILLE HOR.BLADE(TOP)
49000212,2P136129-2J,DISCH GRILLE HOR.BLADE
49000213,2P136130-2J,DISCH GRILLE HOR.BLADE
49000825,3P377500-1A,PANEL ASSY
49000214,3P377679-1B,DISCH.GRILLE HOR.BLADE
49000215,3P377836-1B,DISCH.GRILLE HOR.BLADE
49000216,1P376104-1B,LEFT SIDE PANEL
49000217,1P376156-1B,RIGHT SIDE PANEL
49000218,1P397141-1A,RIGHT SIDE PANEL (RESIN)
49000219,1P397142-1B,LEFT SIDE PANEL
49000220,1P398486-1E,STOP VALVE COVER
49000221,1P372813-2E,DRAIN PAN(RESIN)STABILIZER
49000222,2P403030-1A,SEALING PLATE
49000223,2P236443-1H,FAN HOUSING MAIN BODY(1)
49000224,2P236444-1G,FAN HOUSING MAIN BODY (2)
49000225,1P409617-1K,BELL MOUTH
49000226,1P409618-1K,BELL MOUTH
49000227,1P136121-1S,BOTTOM FRAME
49000228,2P470517-1D,DISCH.GRILLE HOR.BLADE(1)EXT
49000229,2P470518-1E,DISCH.GRILLE HOR.BLADE(2)EXT
49000230,2P470513-1B,DISCH.GRILLE HOR.BLADE(1)EXT
49000231,2P470514-1B,DISCH.GRILLE HOR.BLADE(2)EXT
49000734,3P507836-1A,PANEL ASSY
49000735,3P507836-2A,PANEL ASSY
49000232,1P470652-1E,FRONT  GRILLE (1/3)
49000775,2P282970-1K.,BELL MOUTH
49000776,1PN15292-1.,BELL MOUTH
49000777,1PN15293-1.,BELL MOUTH
49000778,2P136129-1K.,DISCH GRILLE HOR
49000779,2P136130-1K.,DISCH GRILLE HOR
49000780,2P184179-1C.,DISCH GRILLE VERT
49000781,2P095979-1L.,DISCH GRILLE HOR
49000782,2P095980-1L.,DISCH GRILLE HOR
49000783,2P095979-3L.,DISCH GRILLE HOR
49000784,2P095980-3L.,DISCH GRILLE HOR
49000785,2P002232-1.,DUFFUSER
49000786,1P294119-1C.,COMPO BOX
49000787,1P244921-1E.,COMPO BOX
49000788,2P291370-1B.,COMPO BOX
49000789,1P321331-1D.,COMPO BOX
49000790,3P010281-3.,HORIZONTAL BLADE
49000791,1P078814-1D.,LEFT SIDE PANEL
49000792,1P180690-2H.,MOTOR MOUNTING
49000793,1P180726-2D.,MOTOR MOUNTING
49000794,1P078818-1C.,RIGHT SIDE PANEL
49000795,1P270090-1D.,STOP VALVE COVER
49000796,1P167603-1C.,TOP FLATE PLATE
49000797,1P269626-1C.,DISCH GRILLE
49000798,1P294992-1C.,DISCH GRILLE
49000799,2P095979-4L.,DISCH GRILLE HOR
49000800,2P095980-4L.,DISCH GRILLE HOR
49000801,2P136129-2J.,DISCH GRILLE HOR
49000802,2P136130-2J.,DISCH GRILLE HOR
49000803,3P377500-1A.,PANEL ASSY
49000804,3P377679-1B.,DISCH GRILLE HOR
49000805,3P377836-1B.,DISCH GRILLE HOR
49000806,1P376104-1B.,LEFT SIDE PANEL
49000807,1P376156-1B.,RIGHT SIDE PANEL
49000808,1P397141-1A.,RIGHT SIDE PANEL
49000809,1P397142-1B.,LEFT SIDE PANEL
49000810,1P398486-1E.,STOP VALVE COVER
49000811,1P372813-2E.,DRAIN PAN STABIL
49000812,2P403030-1A.,SEALING PLATE
49000813,2P236443-1H.,FAN HOUSING MAIN
49000814,2P236444-1G.,FAN HOUSING MAIN
49000815,1P409617-1K.,BELL MOUTH
49000816,1P409618-1K.,BELL MOUTH
49000817,2P470517-1D.,DISCH GRILLE HOR
49000818,2P470518-1E.,DISCH GRILLE HOR
49000819,2P470513-1B.,DISCH GRILLE HOR
49000820,2P470514-1B.,DISCH GRILLE HOR
49000821,1P470652-1E.,FRONT GRILLE
49000822,3P507836-1A.,PANEL ASSY
49000823,3P507836-2A.,PANEL ASSY
49000824,1P538913-1B,EL.COMPO.BOX
